[2022-02-13T00:43:35-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2022-02-13T00:44:02-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2022-02-13T00:44:13-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2022-02-13T00:44:20-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-02-13T00:44:57-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-02-13T00:46:10-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-02-13T00:50:08-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2022-02-13T00:50:15-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-02-13T00:53:50-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-02-13T00:54:01-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-02-13T00:54:01-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-02-13T01:54:57-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-02-13T01:54:58-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-02-13T02:33:39-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-02-13T02:33:39-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-02-14T09:05:28-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-02-14T09:05:28-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-02-14T09:20:19-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-02-14T09:20:19-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-02-14T15:18:33-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-02-14T15:18:34-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-02-14T16:50:01-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-02-14T16:50:01-0700] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 5fb8f17009; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
